display_name,symbol_name,exchange_id,instrument,underlying_symbol,security_id
IOC 25 SEP 119.5 CALL,IOCLOPT,BSE,OPTSTK,IOC,863131
PNBHOUSING 30 OCT 760 PUT,PNHFOPT,BSE,OPTSTK,PNBHOUSING,863132
TCS 30 OCT 2880 PUT,TCSLOPT,BSE,OPTSTK,TCS,863133
SENSEX 30 OCT 73100 PUT,BSXOPT,BSE,OPTIDX,SENSEX,863135
ONGC 25 SEP 200 CALL,ONGCOPT,BSE,OPTSTK,ONGC,863136
ICICIGI 30 OCT 1720 CALL,ILGIOPT,BSE,OPTSTK,ICICIGI,863137
AXISBANK 30 OCT 990 CALL,AXISOPT,BSE,OPTSTK,AXISBANK,863138
BANDHANBNK 30 OCT 145 PUT,BDBKOPT,BSE,OPTSTK,BANDHANBNK,863140
SONACOMS 25 SEP 370 CALL,SONAOPT,BSE,OPTSTK,SONACOMS,863141
LUPIN 25 SEP 1740 PUT,LUPLOPT,BSE,OPTSTK,LUPIN,863142
CONCOR 25 SEP 500 PUT,CCOIOPT,BSE,OPTSTK,CONCOR,863144
SENSEX50 25 SEP 24750 CALL,SX50OPT,BSE,OPTIDX,SENSEX50,863145
PNBHOUSING 25 SEP 700 CALL,PNHFOPT,BSE,OPTSTK,PNBHOUSING,863147
GAIL 25 SEP 157.5 PUT,GAILOPT,BSE,OPTSTK,GAIL,863148
CHOLAFIN 30 OCT 1280 PUT,CIFLOPT,BSE,OPTSTK,CHOLAFIN,863151
ICICIGI 25 SEP 1740 PUT,ILGIOPT,BSE,OPTSTK,ICICIGI,863152
SENSEX50 30 OCT 24750 PUT,SX50OPT,BSE,OPTIDX,SENSEX50,863153
ONGC 25 SEP 200 PUT,ONGCOPT,BSE,OPTSTK,ONGC,863154
HAL 30 OCT 3700 PUT,HIALOPT,BSE,OPTSTK,HAL,863155
TCS 25 SEP 2880 CALL,TCSLOPT,BSE,OPTSTK,TCS,863156
AXISBANK 30 OCT 990 PUT,AXISOPT,BSE,OPTSTK,AXISBANK,863157
SRF 30 OCT 2650 CALL,SRFLOPT,BSE,OPTSTK,SRF,863158
BPCL 30 OCT 285 CALL,BPCLOPT,BSE,OPTSTK,BPCL,863159
SONACOMS 25 SEP 370 PUT,SONAOPT,BSE,OPTSTK,SONACOMS,863160
ADANIENT 25 SEP 2000 PUT,ADELOPT,BSE,OPTSTK,ADANIENT,863161
HINDUNILVR 30 OCT 2700 PUT,HULLOPT,BSE,OPTSTK,HINDUNILVR,863163
PNBHOUSING 25 SEP 700 PUT,PNHFOPT,BSE,OPTSTK,PNBHOUSING,863164
INDUSTOWER 30 OCT 310 PUT,INFROPT,BSE,OPTSTK,INDUSTOWER,863165
SENSEX 25 SEP 73300 CALL,BSXOPT,BSE,OPTIDX,SENSEX,863168
CHOLAFIN 25 SEP 1280 CALL,CIFLOPT,BSE,OPTSTK,CHOLAFIN,863169
BPCL 30 OCT 285 PUT,BPCLOPT,BSE,OPTSTK,BPCL,863170
KAYNES 30 OCT 7100 PUT,KTNLOPT,BSE,OPTSTK,KAYNES,863171
HAL 25 SEP 3700 CALL,HIALOPT,BSE,OPTSTK,HAL,863172
SENSEX50 30 OCT 24650 CALL,SX50OPT,BSE,OPTIDX,SENSEX50,863173
